tenx,imgt,adaptive,adaptivev2
TRAC,TRAC*01,NoData,NoData
TRAJ1,TRAJ1*01,TCRAJ01-01*01,TCRAJ01-01*01
TRAJ11,TRAJ11*01,TCRAJ11-01*01,TCRAJ11-01*01
TRAJ12,TRAJ12*01,TCRAJ12-01*01,TCRAJ12-01*01
TRAJ13,TRAJ13*01,TCRAJ13-01*01,TCRAJ13-01*01
TRAJ14,TRAJ14*01,TCRAJ14-01*01,TCRAJ14-01*01
TRAJ15,TRAJ15*01,TCRAJ15-01*01,TCRAJ15-01*01
TRAJ16,TRAJ16*01,TCRAJ16-01*01,TCRAJ16-01*01
TRAJ17,TRAJ17*01,TCRAJ17-01*01,TCRAJ17-01*01
TRAJ18,TRAJ18*01,TCRAJ18-01*01,TCRAJ18-01*01
TRAJ19,TRAJ19*01,TCRAJ19-01*01,TCRAJ19-01*01
TRAJ2,TRAJ2*01,TCRAJ02-01*01,TCRAJ02-01*01
TRAJ20,TRAJ20*01,TCRAJ20-01*01,TCRAJ20-01*01
TRAJ21,TRAJ21*01,TCRAJ21-01*01,TCRAJ21-01*01
TRAJ22,TRAJ22*01,TCRAJ22-01*01,TCRAJ22-01*01
TRAJ23,TRAJ23*01,TCRAJ23-01*01,TCRAJ23-01*01
TRAJ24,TRAJ24*01,TCRAJ24-01*01,TCRAJ24-01*01
TRAJ25,TRAJ25*01,TCRAJ25-01*01,TCRAJ25-01*01
TRAJ26,TRAJ26*01,TCRAJ26-01*01,TCRAJ26-01*01
TRAJ27,TRAJ27*01,TCRAJ27-01*01,TCRAJ27-01*01
TRAJ28,TRAJ28*01,TCRAJ28-01*01,TCRAJ28-01*01
TRAJ29,TRAJ29*01,TCRAJ29-01*01,TCRAJ29-01*01
TRAJ3,TRAJ3*01,TCRAJ03-01*01,TCRAJ03-01*01
TRAJ30,TRAJ30*01,TCRAJ30-01*01,TCRAJ30-01*01
TRAJ31,TRAJ31*01,TCRAJ31-01*01,TCRAJ31-01*01
TRAJ32,TRAJ32*01,TCRAJ32-01*01,TCRAJ32-01*01
TRAJ33,TRAJ33*01,TCRAJ33-01*01,TCRAJ33-01*01
TRAJ34,TRAJ34*01,TCRAJ34-01*01,TCRAJ34-01*01
TRAJ35,TRAJ35*01,TCRAJ35-01*01,TCRAJ35-01*01
TRAJ36,TRAJ36*01,TCRAJ36-01*01,TCRAJ36-01*01
TRAJ37,TRAJ37*01,TCRAJ37-01*01,TCRAJ37-01*01
TRAJ38,TRAJ38*01,TCRAJ38-01*01,TCRAJ38-01*01
TRAJ39,TRAJ39*01,TCRAJ39-01*01,TCRAJ39-01*01
TRAJ4,TRAJ4*01,TCRAJ04-01*01,TCRAJ04-01*01
TRAJ40,TRAJ40*01,TCRAJ40-01*01,TCRAJ40-01*01
TRAJ41,TRAJ41*01,TCRAJ41-01*01,TCRAJ41-01*01
TRAJ42,TRAJ42*01,TCRAJ42-01*01,TCRAJ42-01*01
TRAJ43,TRAJ43*01,TCRAJ43-01*01,TCRAJ43-01*01
TRAJ44,TRAJ44*01,TCRAJ44-01*01,TCRAJ44-01*01
TRAJ45,TRAJ45*01,TCRAJ45-01*01,TCRAJ45-01*01
TRAJ46,TRAJ46*01,TCRAJ46-01*01,TCRAJ46-01*01
TRAJ47,TRAJ47*01,TCRAJ47-01*01,TCRAJ47-01*01
TRAJ48,TRAJ48*01,TCRAJ48-01*01,TCRAJ48-01*01
TRAJ49,TRAJ49*01,TCRAJ49-01*01,TCRAJ49-01*01
TRAJ5,TRAJ5*01,TCRAJ05-01*01,TCRAJ05-01*01
TRAJ50,TRAJ50*01,TCRAJ50-01*01,TCRAJ50-01*01
TRAJ51,TRAJ51*01,TCRAJ51-01*01,TCRAJ51-01*01
TRAJ52,TRAJ52*01,TCRAJ52-01*01,TCRAJ52-01*01
TRAJ53,TRAJ53*01,TCRAJ53-01*01,TCRAJ53-01*01
TRAJ54,TRAJ54*01,TCRAJ54-01*01,TCRAJ54-01*01
TRAJ55,TRAJ55*01,TCRAJ55-01*01,TCRAJ55-01*01
TRAJ56,TRAJ56*01,TCRAJ56-01*01,TCRAJ56-01*01
TRAJ57,TRAJ57*01,TCRAJ57-01*01,TCRAJ57-01*01
TRAJ58,TRAJ58*01,TCRAJ58-01*01,TCRAJ58-01*01
TRAJ59,TRAJ59*01,TCRAJ59-01*01,TCRAJ59-01*01
TRAJ6,TRAJ6*01,TCRAJ06-01*01,TCRAJ06-01*01
TRAJ60,TRAJ60*01,TCRAJ60-01*01,TCRAJ60-01*01
TRAJ61,TRAJ61*01,TCRAJ61-01*01,TCRAJ61-01*01
TRAJ7,TRAJ7*01,TCRAJ07-01*01,TCRAJ07-01*01
TRAJ8,TRAJ8*01,TCRAJ08-01*01,TCRAJ08-01*01
TRAJ9,TRAJ9*01,TCRAJ09-01*01,TCRAJ09-01*01
TRAV1,TRAV1*01,TCRAV01-01*01,TCRAV01-01*01
TRAV10,TRAV10*01,TCRAV10-01*01,TCRAV10-01*01
TRAV10D,TRAV10D*01,TCRAV10D-01*01,TCRAV10D-01*01
TRAV10N,TRAV10N*01,TCRAV10N-01*01,TCRAV10N-01*01
TRAV11,TRAV11*01,TCRAV11-01*01,TCRAV11-01*01
TRAV11D,TRAV11D*01,TCRAV11D-01*01,TCRAV11D-01*01
TRAV11N,TRAV11N*01,TCRAV11N-01*01,TCRAV11N-01*01
TRAV12-1,TRAV12-1*01,TCRAV12-01*01,TCRAV12-01*01
TRAV12-2,TRAV12-2*01,TCRAV12-02*01,TCRAV12-02*01
TRAV12-3,TRAV12-3*01,TCRAV12-03*01,TCRAV12-03*01
TRAV12-4,TRAV12-4*01,TCRAV12-04*01,TCRAV12-04*01
TRAV12D-1,TRAV12D-1*01,TCRAV12D-01*01,TCRAV12D-01*01
TRAV12D-2,TRAV12D-2*01,TCRAV12D-02*01,TCRAV12D-02*01
